Date,Open,Close,High,Low,Volume
2023-04-10,2.0190000534057617,2.171999931335449,2.2230000495910645,2.010999917984009,256800
2023-04-11,2.181999921798706,2.186000108718872,2.246999979019165,2.125999927520752,220673
2023-04-12,2.220999956130981,2.0929999351501465,2.2290000915527344,2.069000005722046,247319
2023-04-13,2.0840001106262207,2.006999969482422,2.130000114440918,1.995000004768372,224382
2023-04-14,2.015000104904175,2.114000082015991,2.131999969482422,1.94599997997284,226788
2023-04-17,2.150000095367432,2.275000095367432,2.313999891281128,2.1459999084472656,191441
2023-04-18,2.289999961853028,2.365999937057495,2.384999990463257,2.2290000915527344,120611
2023-04-19,2.372999906539917,2.2219998836517334,2.382999897003174,2.177000045776367,147565
2023-04-20,2.178999900817871,2.249000072479248,2.2709999084472656,2.140000104904175,115594
2023-04-21,2.191999912261963,2.2330000400543213,2.2739999294281006,2.1640000343322754,82961
2023-04-24,2.220000028610229,2.2730000019073486,2.2860000133514404,2.180999994277954,56324
2023-04-25,2.26200008392334,2.306999921798706,2.312000036239624,2.1700000762939453,66131
2023-04-26,2.239000082015991,2.117000102996826,2.2739999294281006,2.1010000705718994,149625
2023-04-27,2.313999891281128,2.3550000190734863,2.375999927520752,2.2679998874664307,105218
2023-04-28,2.3580000400543213,2.4100000858306885,2.5290000438690186,2.2850000858306885,176420
2023-05-01,2.3980000019073486,2.318000078201294,2.4100000858306885,2.289999961853028,108993
2023-05-02,2.313999891281128,2.21399998664856,2.345000028610229,2.186000108718872,127225
2023-05-03,2.2239999771118164,2.1700000762939453,2.240999937057495,2.102999925613404,130327
2023-05-04,2.157000064849853,2.1010000705718994,2.188999891281128,2.0810000896453857,113278
2023-05-05,2.0859999656677246,2.13700008392334,2.1670000553131104,2.0309998989105225,120689
2023-05-08,2.1480000019073486,2.23799991607666,2.255000114440918,2.140000104904175,125345
2023-05-09,2.249000072479248,2.2669999599456787,2.296999931335449,2.184000015258789,134534
2023-05-10,2.26200008392334,2.190999984741211,2.265000104904175,2.1600000858306885,126485
2023-05-11,2.181999921798706,2.190000057220459,2.255000114440918,2.164999961853028,119033
2023-05-12,2.190999984741211,2.2660000324249268,2.3350000381469727,2.1470000743865967,159351
2023-05-15,2.265000104904175,2.375,2.384000062942505,2.25,142753
2023-05-16,2.372999906539917,2.375999927520752,2.470000028610229,2.3410000801086426,135427
2023-05-17,2.361999988555908,2.365000009536743,2.434999942779541,2.322000026702881,139262
2023-05-18,2.380000114440918,2.5920000076293945,2.634000062942505,2.351999998092652,186293
2023-05-19,2.615000009536743,2.5850000381469727,2.684999942779541,2.556999921798706,162128
2023-05-22,2.568000078201294,2.400000095367432,2.569000005722046,2.367000102996826,114478
2023-05-23,2.400000095367432,2.321000099182129,2.407000064849853,2.318000078201294,58742
2023-05-24,2.3469998836517334,2.3980000019073486,2.414999961853028,2.316999912261963,33040
2023-05-25,2.4130001068115234,2.306999921798706,2.440999984741211,2.257999897003174,48663
2023-05-26,2.2920000553131104,2.180999994277954,2.2980000972747803,2.1429998874664307,140560
2023-05-30,2.4170000553131104,2.32699990272522,2.447999954223633,2.256999969482422,183534
2023-05-31,2.319999933242798,2.2660000324249268,2.4100000858306885,2.246999979019165,151831
2023-06-01,2.255000114440918,2.157999992370605,2.282999992370605,2.135999917984009,210624
2023-06-02,2.1630001068115234,2.171999931335449,2.2330000400543213,2.138000011444092,155169
