Commodity,Country,weeklyExports,grossNewSales,Date
Corn,UNKNOWN,0,60206,2009-09-17
Corn,CANADA,35641,10822,2009-09-24
Corn,MEXICO,130511,189966,2009-09-24
Corn,GUATEMALA,0,94920,2009-09-24
Corn,EL SALVADOR,0,0,2009-09-24
Corn,HONDURAS,0,117,2009-09-24
Corn,NICARAGUA,0,0,2009-09-24
Corn,COSTA RICA,0,0,2009-09-24
Corn,PANAMA,28882,904,2009-09-24
Corn,CUBA,0,0,2009-09-24
Corn,JAMAICA,0,0,2009-09-24
Corn,DOMINICAN REPUBLIC,17727,1197,2009-09-24
Corn,LEEWARD-WINDWARD ISLANDS,28125,0,2009-09-24
Corn,BARBADOS,0,1500,2009-09-24
Corn,TRINIDAD AND TOBAGO,0,3000,2009-09-24
Corn,FRENCH WEST INDIES,0,0,2009-09-24
Corn,COLOMBIA,49583,68968,2009-09-24
Corn,VENEZUELA,0,40000,2009-09-24
Corn,SURINAM,0,0,2009-09-24
Corn,ECUADOR,0,0,2009-09-24
Corn,PERU,32746,49746,2009-09-24
Corn,CHILE,0,0,2009-09-24
Corn,UNITED KINGDOM,0,0,2009-09-24
Corn,SWITZERLAND,0,0,2009-09-24
Corn,SPAIN,140,0,2009-09-24
Corn,TURKEY,0,0,2009-09-24
Corn,SYRIA,27718,2718,2009-09-24
Corn,LEBANON,0,0,2009-09-24
Corn,IRAN,0,0,2009-09-24
Corn,ISRAEL,0,0,2009-09-24
Corn,JORDAN,0,0,2009-09-24
Corn,SAUDI ARABIA,0,0,2009-09-24
Corn,UNITED ARAB EMIRATES,0,0,2009-09-24
Corn,VIETNAM,0,500,2009-09-24
Corn,MALAYSIA,1563,0,2009-09-24
Corn,SINGAPORE,0,0,2009-09-24
Corn,INDONESIA,72,0,2009-09-24
Corn,"CHINA, PEOPLES REPUBLIC OF",0,0,2009-09-24
Corn,"KOREA, REPUBLIC OF",197050,145844,2009-09-24
Corn,HONG KONG,274,714,2009-09-24
Corn,TAIWAN,29064,115871,2009-09-24
Corn,JAPAN,280023,489533,2009-09-24
Corn,"OTHER PACIFIC ISLANDS, NEC",0,0,2009-09-24
Corn,MOROCCO,0,0,2009-09-24
Corn,ALGERIA,0,0,2009-09-24
Corn,TUNISIA,0,0,2009-09-24
Corn,LIBYA,0,0,2009-09-24
Corn,EGYPT,105585,5500,2009-09-24
Corn,UNKNOWN,0,66144,2009-09-24
Corn,CANADA,23829,27639,2009-10-01
Corn,MEXICO,136957,118922,2009-10-01
Corn,GUATEMALA,25623,49635,2009-10-01
Corn,EL SALVADOR,5500,0,2009-10-01
Corn,HONDURAS,18401,15367,2009-10-01
Corn,NICARAGUA,9371,0,2009-10-01
Corn,COSTA RICA,37164,2362,2009-10-01
Corn,PANAMA,1,9399,2009-10-01
Corn,CUBA,0,0,2009-10-01
Corn,JAMAICA,0,0,2009-10-01
Corn,HAITI,0,0,2009-10-01
Corn,DOMINICAN REPUBLIC,40,21050,2009-10-01
Corn,LEEWARD-WINDWARD ISLANDS,0,0,2009-10-01
Corn,BARBADOS,0,0,2009-10-01
Corn,TRINIDAD AND TOBAGO,0,1200,2009-10-01
Corn,FRENCH WEST INDIES,0,0,2009-10-01
Corn,COLOMBIA,33104,537,2009-10-01
Corn,VENEZUELA,0,0,2009-10-01
Corn,GUYANA,0,0,2009-10-01
Corn,SURINAM,0,0,2009-10-01
Corn,ECUADOR,0,0,2009-10-01
Corn,PERU,86885,9550,2009-10-01
