date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum
2017-02-13,5.614214257142858,-5.007214230000001,-0.27477370857142863,0.5142857000000001
2017-02-20,14.071357057142858,1.4856428857142858,6.85826205,1.5000001428571428
2017-02-27,10.149928342857143,-1.5572141571428573,3.9287976914285716,2.900000000000001
2017-03-06,12.035642857142859,1.492785992857143,5.621655028571429,1.4857143
2017-03-13,5.785642814285715,-3.500071342857143,0.5299883714285715,2.1142857142857143
2017-03-20,9.4856432,-2.3500713,2.55975022,0.08571428571428572
2017-03-27,10.885642614285715,4.028500057142857,6.636238214285714,2.228571542857143
2017-04-03,10.8785,4.9785002,7.535047571428572,6.728571542857144
2017-04-10,17.114214,6.585642914285714,11.360345214285715,1.742857157142857
2017-04-17,19.907071142857145,8.757071571428572,14.171356285714285,2.9857143
2017-04-24,20.428499428571428,7.514214728571429,13.28326257142857,0.3
2017-05-01,12.2785,5.392785785714286,8.269274714285714,5.342857728571429
2017-05-08,19.792785714285714,6.749928685714286,12.951416285714286,0.08571428571428573
2017-05-15,24.507070571428574,13.035642714285714,18.51421314285714,2.4999997142857144
2017-05-22,20.799927857142855,12.192785685714284,15.698737857142858,6.771428285714285
2017-05-29,21.33564242857143,10.5427859,15.789511285714285,1.957142842857143
2017-06-05,25.949928285714286,13.407071142857143,19.89576042857143,0.0
2017-06-12,30.06421442857143,18.09992814285714,23.929094428571428,0.25714287142857145
2017-06-19,29.6285,18.914213857142858,24.050225714285716,2.9285715
2017-06-26,26.014213285714284,15.257071142857143,20.190999142857144,2.8285714285714287
2017-07-03,26.449928,17.007071142857143,21.256771571428573,3.885714014285714
2017-07-10,29.92135628571429,19.785642142857142,24.672845285714285,1.8999998642857143
2017-07-17,29.792785000000002,19.457071000000003,24.522843285714288,0.6285714
2017-07-24,30.84992814285714,21.421356714285714,26.152607142857143,10.085714585714285
2017-07-31,28.035642,18.47135642857143,23.102308571428573,1.614285714285714
2017-08-07,26.37135614285714,16.628500142857142,21.141296714285716,1.0142855771428572
2017-08-14,26.564213857142857,16.349927714285716,21.164510428571425,1.1857142142857142
2017-08-21,28.007071285714286,18.03564242857143,22.63980714285714,4.271428285714285
2017-08-28,24.74992742857143,16.321357,20.07849857142857,1.3714285142857143
2017-09-04,25.707071000000003,15.721357285714285,20.565403428571432,0.7571428714285714
2017-09-11,24.342784428571427,13.535642857142859,18.792486142857143,0.028571428571428574
2017-09-18,28.714214571428574,17.421357285714286,22.61242771428571,0.6285714285714284
2017-09-25,29.728499285714285,20.557070714285715,24.668675285714283,0.6714286285714286
2017-10-02,22.19278514285714,13.442785571428573,17.57403557142857,1.3000000071428572
2017-10-09,22.142785428571425,14.849928571428572,18.136237142857144,11.414286
2017-10-16,16.92135657142857,9.121357142857143,11.910046714285714,8.857142857142858
2017-10-23,20.478498857142856,10.892785714285713,15.066595142857143,3.0857141857142856
2017-10-30,10.342785714285714,2.9356429928571433,5.8749286142857144,0.5285714285714286
2017-11-06,7.349928771428572,0.38564291428571423,3.6020118528571428,0.3428571142857143
2017-11-13,5.549928671428572,-2.742928528571429,0.8588572214285716,0.4571428714285714
2017-11-20,9.171357428571428,0.4285000428571428,4.328202614285714,0.8571428571428571
2017-11-27,11.371357278571429,-0.6572142857142858,4.4094523,0.028571428571428574
2017-12-04,12.228500200000001,2.02850013,7.066000014285714,0.5857142571428572
2017-12-11,2.5999285997142856,-5.085785700000001,-1.8128689814285714,0.07142857142857142
2017-12-18,5.021357168571428,-3.7286428571428574,0.02314288000000007,0.08571428571428572
2017-12-25,-0.3714999999999999,-4.8929284285714285,-2.6271546477142858,0.6142857285714286
2018-01-01,-13.742928714285714,-19.978643714285713,-17.41554657142857,1.2857142857142858
2018-01-08,-8.435785414285714,-19.564357285714287,-14.375964371428571,0.31428572857142856
2018-01-15,-2.1714998571428574,-12.292928845714286,-7.721797514285714,1.0999999285714286
2018-01-22,1.9999288,-7.400071431428572,-3.6926309814285716,3.185714142857143
2018-01-29,4.9570713714285715,-4.364357128571428,-0.5985830528571426,0.37142854285714283
2018-02-05,0.035643042857142655,-10.835785571428572,-6.330130557142858,1.6285714428571427
2018-02-12,-11.535785514285715,-17.21435757142857,-14.147690571428571,1.6714284857142856
2018-02-19,2.8213572,-7.914357142857143,-2.784594842857143,0.6285714428571428
2018-02-26,3.128500028571428,-5.578642614285714,-2.124178444285714,3.114285757142857
2018-03-05,11.535643142857143,-0.2786428871428572,4.902904821428572,1.742857142857143
2018-03-12,3.971357157142857,-4.0500714,-0.6179284404285715,1.2571428142857144
2018-03-19,9.107071485714286,-2.6143571571428574,2.4463571,2.3142858142857143
2018-03-26,6.621357142857143,-1.6357857142857142,1.8454644842857142,4.342856864285714
2018-04-02,7.892786042857144,-2.5000713714285716,1.7936788571428575,1.1714285714285713
2018-04-09,4.1642142571428575,-5.150071387142857,-1.52507115,1.2714286285714285
2018-04-16,10.17135684242857,0.37850000000000034,4.568083385714286,9.55714357142857
2018-04-23,12.135642757142858,0.5285001285714285,5.55766666,1.1285715142857142
2018-04-30,19.685642,5.542785785714286,12.146952714285716,0.014285714285714287
2018-05-07,23.85707114285714,12.907071571428572,18.212129285714287,8.314285971428571
2018-05-14,21.571357142857146,12.692785571428573,16.51719,5.9428572285714285
2018-05-21,23.692784999999997,13.935643,19.003201714285716,2.1428570857142857
2018-05-28,29.864214285714286,17.28564257142857,23.47492757142857,0.7000000000000001
2018-06-04,28.228499571428568,17.057071,22.692487142857143,1.4571428142857141
2018-06-11,29.47849942857143,18.449928,23.470760428571428,1.4285713857142857
2018-06-18,30.428499428571428,20.60707042857143,25.163320285714285,8.071428571428571
2018-06-25,25.39992714285714,18.028499571428572,21.527010714285716,7.242857471428572
2018-07-02,28.899928285714285,20.392785285714286,24.427605,6.542857571428572
2018-07-09,29.135642285714283,18.714214285714288,23.831771285714286,0.8428571142857143
2018-07-16,30.278499571428572,21.87135614285714,25.956772285714287,3.1714288571428573
2018-07-23,27.078499285714287,18.228498857142856,22.62016542857143,1.4142857142857144
2018-07-30,25.578499285714287,15.76421442857143,21.010045714285717,0.30000000714285713
2018-08-06,30.08564242857143,18.642785285714286,23.976713857142858,2.0428572
2018-08-13,29.371356714285714,18.742785142857144,24.04189,4.442857428571428
2018-08-20,27.814214142857143,19.735642428571428,23.53802285714286,7.0142856857142855
2018-08-27,27.371356714285714,18.114214142857143,22.449331285714287,2.1142856285714284
2018-09-03,26.649928142857142,18.357070999999998,22.331177285714286,14.985714000000002
2018-09-10,23.449928142857143,15.849928571428572,19.39367771428571,8.642856071428572
2018-09-17,27.699928285714286,18.328499285714287,22.73980814285714,0.1142857142857143
2018-09-24,25.878499142857144,15.271357,19.411237142857143,7.428571571428571
2018-10-01,17.671356285714285,9.578500057142858,12.596654428571428,5.81428572
2018-10-08,20.307070714285715,10.021357428571429,14.140702285714285,10.600000785714286
2018-10-15,12.5570711,4.9284998571428575,8.6374282,4.228571864285715
2018-10-22,15.571356857142858,3.3213573142857142,8.117785857142858,0.35714285714285715
2018-10-29,13.085643000000001,3.992785728571429,8.532071185714285,0.7714285857142856
2018-11-05,10.899929,4.928500028571428,7.790702642857143,5.714285728571428
2018-11-12,2.285642914285714,-4.471499857142858,-1.2587022285714287,0.5428571571428572
2018-11-19,2.8142142285714287,-6.128642657142857,-2.550666322857143,1.4857144285714285
2018-11-26,5.328500142857143,-2.8643569585714284,0.4546906642857143,1.0999999785714285
2018-12-03,1.3356429,-4.3929285728571426,-2.015845282142857,3.5428574357142857
2018-12-10,-0.3429286214285714,-7.442928571428571,-4.563464285714286,0.0
2018-12-17,6.264214385714285,-3.6429284714285717,0.18296433285714284,0.0
2018-12-24,5.399928571428572,-2.278642885714286,0.6183810000000001,0.10000000714285714
2018-12-31,4.057071485714286,-4.357214171428572,-0.9845949880000002,6.300000314285714
2019-01-07,6.114214428571429,-3.2643571314285715,0.1695716242857144,1.0
2019-01-14,0.6142142714285714,-6.5143571,-3.3182257571428573,1.6428572857142856
2019-01-21,-5.264357114285715,-12.114357428571427,-8.717630571428572,1.1857142142857142
2019-01-28,-6.0714999,-18.600071714285715,-12.751262028571428,3.1142856714285716
2019-02-04,-6.271499857142857,-17.242928142857142,-11.402453038571426,0.7428571714285714
2019-02-11,-3.714357014285714,-12.542928571428572,-8.714952385714286,2.2999999571428575
2019-02-18,-5.550071257142856,-14.907214,-9.71465497142857,3.200000292857143
2019-02-25,-4.485785728571428,-14.078642571428572,-9.342333535285714,4.471428857142857
2019-03-04,-8.464357099999999,-16.850072,-13.579535857142856,0.1142857142857143
2019-03-11,-2.1857856,-10.171500142857143,-6.6706071,1.6285713000000002
2019-03-18,9.328500142857143,-1.7786427000000002,2.958261808,4.042857857142858
2019-03-25,11.735643285714287,0.035642942857142756,5.393381414285714,0.6857141428571428
2019-04-01,11.342785571428573,1.2356429685714285,5.611238300000001,0.47142858571428575
2019-04-08,16.992786142857142,4.842785771428572,10.370464071428572,2.7142858571428574
2019-04-15,14.307071142857142,1.9785000557142856,6.722250528571428,2.299999871428571
2019-04-22,20.471356285714286,8.378500014285715,13.959452142857144,2.9857144285714283
2019-04-29,15.685642714285715,5.2785,10.062428971428572,3.7428568571428573
2019-05-06,16.97135714285714,7.307071571428572,11.573738285714285,2.042857142857143
2019-05-13,16.364214285714286,5.778499985714285,10.395762000000001,3.828571314285714
2019-05-20,21.914213999999998,11.449928485714285,16.129987142857143,8.214286
2019-05-27,22.557070857142858,13.21421442857143,17.31004642857143,14.62857157142857
2019-06-03,24.142785142857143,12.978500142857143,18.297844714285713,4.371428577142857
2019-06-10,26.77849914285714,16.542785,21.806474428571427,1.5714285714285714
