Date,Country,Commodity,weeklyExports,grossNewSales
2009-09-17,UNKNOWN,Corn,0,60206
2009-09-24,CANADA,Corn,35641,10822
2009-09-24,MEXICO,Corn,130511,189966
2009-09-24,GUATEMALA,Corn,0,94920
2009-09-24,EL SALVADOR,Corn,0,0
2009-09-24,HONDURAS,Corn,0,117
2009-09-24,NICARAGUA,Corn,0,0
2009-09-24,COSTA RICA,Corn,0,0
2009-09-24,PANAMA,Corn,28882,904
2009-09-24,CUBA,Corn,0,0
2009-09-24,JAMAICA,Corn,0,0
2009-09-24,DOMINICAN REPUBLIC,Corn,17727,1197
2009-09-24,LEEWARD-WINDWARD ISLANDS,Corn,28125,0
2009-09-24,BARBADOS,Corn,0,1500
2009-09-24,TRINIDAD AND TOBAGO,Corn,0,3000
2009-09-24,FRENCH WEST INDIES,Corn,0,0
2009-09-24,COLOMBIA,Corn,49583,68968
2009-09-24,VENEZUELA,Corn,0,40000
2009-09-24,SURINAM,Corn,0,0
2009-09-24,ECUADOR,Corn,0,0
2009-09-24,PERU,Corn,32746,49746
2009-09-24,CHILE,Corn,0,0
2009-09-24,UNITED KINGDOM,Corn,0,0
2009-09-24,SWITZERLAND,Corn,0,0
2009-09-24,SPAIN,Corn,140,0
2009-09-24,TURKEY,Corn,0,0
2009-09-24,SYRIA,Corn,27718,2718
2009-09-24,LEBANON,Corn,0,0
2009-09-24,IRAN,Corn,0,0
2009-09-24,ISRAEL,Corn,0,0
2009-09-24,JORDAN,Corn,0,0
2009-09-24,SAUDI ARABIA,Corn,0,0
2009-09-24,UNITED ARAB EMIRATES,Corn,0,0
2009-09-24,VIETNAM,Corn,0,500
2009-09-24,MALAYSIA,Corn,1563,0
2009-09-24,SINGAPORE,Corn,0,0
2009-09-24,INDONESIA,Corn,72,0
2009-09-24,"CHINA, PEOPLES REPUBLIC OF",Corn,0,0
2009-09-24,"KOREA, REPUBLIC OF",Corn,197050,145844
2009-09-24,HONG KONG,Corn,274,714
2009-09-24,TAIWAN,Corn,29064,115871
2009-09-24,JAPAN,Corn,280023,489533
2009-09-24,"OTHER PACIFIC ISLANDS, NEC",Corn,0,0
2009-09-24,MOROCCO,Corn,0,0
2009-09-24,ALGERIA,Corn,0,0
2009-09-24,TUNISIA,Corn,0,0
2009-09-24,LIBYA,Corn,0,0
2009-09-24,EGYPT,Corn,105585,5500
2009-09-24,UNKNOWN,Corn,0,66144
2009-10-01,CANADA,Corn,23829,27639
2009-10-01,MEXICO,Corn,136957,118922
2009-10-01,GUATEMALA,Corn,25623,49635
2009-10-01,EL SALVADOR,Corn,5500,0
2009-10-01,HONDURAS,Corn,18401,15367
2009-10-01,NICARAGUA,Corn,9371,0
2009-10-01,COSTA RICA,Corn,37164,2362
2009-10-01,PANAMA,Corn,1,9399
2009-10-01,CUBA,Corn,0,0
2009-10-01,JAMAICA,Corn,0,0
2009-10-01,HAITI,Corn,0,0
2009-10-01,DOMINICAN REPUBLIC,Corn,40,21050
2009-10-01,LEEWARD-WINDWARD ISLANDS,Corn,0,0
2009-10-01,BARBADOS,Corn,0,0
2009-10-01,TRINIDAD AND TOBAGO,Corn,0,1200
2009-10-01,FRENCH WEST INDIES,Corn,0,0
2009-10-01,COLOMBIA,Corn,33104,537
2009-10-01,VENEZUELA,Corn,0,0
2009-10-01,GUYANA,Corn,0,0
2009-10-01,SURINAM,Corn,0,0
2009-10-01,ECUADOR,Corn,0,0
2009-10-01,PERU,Corn,86885,9550
2009-10-01,UNITED KINGDOM,Corn,0,0
2009-10-01,SWITZERLAND,Corn,0,0
2009-10-01,SPAIN,Corn,60,0
2009-10-01,TURKEY,Corn,0,0
2009-10-01,SYRIA,Corn,0,0
2009-10-01,LEBANON,Corn,0,0
2009-10-01,IRAN,Corn,0,0
2009-10-01,ISRAEL,Corn,0,0
2009-10-01,JORDAN,Corn,0,0
2009-10-01,SAUDI ARABIA,Corn,0,0
2009-10-01,UNITED ARAB EMIRATES,Corn,0,0
2009-10-01,VIETNAM,Corn,1243,0
2009-10-01,MALAYSIA,Corn,711,41
2009-10-01,SINGAPORE,Corn,0,0
2009-10-01,INDONESIA,Corn,996,0
2009-10-01,"CHINA, PEOPLES REPUBLIC OF",Corn,0,0
2009-10-01,"KOREA, REPUBLIC OF",Corn,290957,70250
2009-10-01,HONG KONG,Corn,468,227
2009-10-01,TAIWAN,Corn,37228,70101
2009-10-01,JAPAN,Corn,318772,207031
2009-10-01,"OTHER PACIFIC ISLANDS, NEC",Corn,0,0
2009-10-01,MOROCCO,Corn,53127,12665
2009-10-01,ALGERIA,Corn,0,0
2009-10-01,TUNISIA,Corn,0,0
2009-10-01,LIBYA,Corn,0,0
2009-10-01,EGYPT,Corn,63780,3780
2009-10-01,UNKNOWN,Corn,0,21776
2009-10-08,CANADA,Corn,37248,13137
2009-10-08,MEXICO,Corn,62027,70901
2009-10-08,GUATEMALA,Corn,6149,530
2009-10-08,EL SALVADOR,Corn,0,0
2009-10-08,HONDURAS,Corn,3000,0
2009-10-08,NICARAGUA,Corn,8916,216
2009-10-08,COSTA RICA,Corn,0,0
2009-10-08,PANAMA,Corn,0,7812
2009-10-08,CUBA,Corn,0,0
2009-10-08,JAMAICA,Corn,10500,0
2009-10-08,HAITI,Corn,0,0
2009-10-08,DOMINICAN REPUBLIC,Corn,0,36920
2009-10-08,LEEWARD-WINDWARD ISLANDS,Corn,0,0
2009-10-08,BARBADOS,Corn,0,0
2009-10-08,TRINIDAD AND TOBAGO,Corn,0,0
2009-10-08,FRENCH WEST INDIES,Corn,0,0
2009-10-08,COLOMBIA,Corn,55573,73756
2009-10-08,VENEZUELA,Corn,24176,18278
2009-10-08,SURINAM,Corn,0,1900
2009-10-08,ECUADOR,Corn,0,0
2009-10-08,PERU,Corn,0,0
2009-10-08,UNITED KINGDOM,Corn,0,0
2009-10-08,SWITZERLAND,Corn,0,0
2009-10-08,SPAIN,Corn,40,0
2009-10-08,TURKEY,Corn,0,0
2009-10-08,SYRIA,Corn,0,0
2009-10-08,LEBANON,Corn,0,0
2009-10-08,IRAN,Corn,0,0
2009-10-08,ISRAEL,Corn,0,0
2009-10-08,JORDAN,Corn,0,0
2009-10-08,SAUDI ARABIA,Corn,0,0
2009-10-08,UNITED ARAB EMIRATES,Corn,29572,0
2009-10-08,VIETNAM,Corn,143,0
2009-10-08,MALAYSIA,Corn,0,0
2009-10-08,SINGAPORE,Corn,0,0
2009-10-08,INDONESIA,Corn,0,0
2009-10-08,"CHINA, PEOPLES REPUBLIC OF",Corn,0,0
2009-10-08,"KOREA, REPUBLIC OF",Corn,121365,679
2009-10-08,HONG KONG,Corn,148,168
2009-10-08,TAIWAN,Corn,36547,28835
2009-10-08,JAPAN,Corn,157786,144107
2009-10-08,"OTHER PACIFIC ISLANDS, NEC",Corn,0,0
2009-10-08,MOROCCO,Corn,31110,1110
2009-10-08,ALGERIA,Corn,0,0
2009-10-08,TUNISIA,Corn,0,0
2009-10-08,LIBYA,Corn,0,0
2009-10-08,EGYPT,Corn,85831,6000
2009-10-08,"CONGO, DEMOCRATIC REPUBLIC OF",Corn,0,0
2009-10-08,KENYA,Corn,0,0
2009-10-08,UNKNOWN,Corn,0,256306
2009-10-15,CANADA,Corn,12775,6697
2009-10-15,MEXICO,Corn,139364,92607
2009-10-15,GUATEMALA,Corn,6748,7822
2009-10-15,EL SALVADOR,Corn,17423,0
2009-10-15,HONDURAS,Corn,0,0
2009-10-15,NICARAGUA,Corn,0,0
2009-10-15,COSTA RICA,Corn,25498,0
2009-10-15,PANAMA,Corn,0,6763
2009-10-15,CUBA,Corn,49183,1235
2009-10-15,JAMAICA,Corn,4057,57
2009-10-15,HAITI,Corn,0,0
2009-10-15,DOMINICAN REPUBLIC,Corn,19344,21524
2009-10-15,LEEWARD-WINDWARD ISLANDS,Corn,0,0
2009-10-15,BARBADOS,Corn,0,0
2009-10-15,TRINIDAD AND TOBAGO,Corn,3885,285
2009-10-15,FRENCH WEST INDIES,Corn,550,350
2009-10-15,COLOMBIA,Corn,42635,10507
2009-10-15,VENEZUELA,Corn,51472,39994
2009-10-15,GUYANA,Corn,0,0
2009-10-15,SURINAM,Corn,0,0
2009-10-15,ECUADOR,Corn,0,0
2009-10-15,PERU,Corn,0,0
2009-10-15,CHILE,Corn,0,0
2009-10-15,UNITED KINGDOM,Corn,0,0
2009-10-15,SWITZERLAND,Corn,0,0
2009-10-15,"GEORGIA, REPUBLIC OF",Corn,0,0
2009-10-15,SPAIN,Corn,241,1500
2009-10-15,ALBANIA,Corn,0,0
2009-10-15,TURKEY,Corn,0,0
2009-10-15,SYRIA,Corn,0,0
2009-10-15,LEBANON,Corn,0,0
2009-10-15,IRAN,Corn,0,0
2009-10-15,ISRAEL,Corn,0,0
2009-10-15,SAUDI ARABIA,Corn,0,0
2009-10-15,UNITED ARAB EMIRATES,Corn,0,0
2009-10-15,VIETNAM,Corn,0,0
2009-10-15,MALAYSIA,Corn,1029,400
2009-10-15,SINGAPORE,Corn,0,0
2009-10-15,INDONESIA,Corn,0,0
2009-10-15,"CHINA, PEOPLES REPUBLIC OF",Corn,0,0
2009-10-15,"KOREA, REPUBLIC OF",Corn,204200,9067
2009-10-15,HONG KONG,Corn,587,103
2009-10-15,TAIWAN,Corn,38103,11089
2009-10-15,JAPAN,Corn,172442,272116
2009-10-15,"OTHER PACIFIC ISLANDS, NEC",Corn,0,0
2009-10-15,MOROCCO,Corn,28452,452
2009-10-15,ALGERIA,Corn,0,0
2009-10-15,TUNISIA,Corn,0,0
