Date,grossNewSales
2009-09-03,181001
2009-09-03,348669
2009-09-03,91826
2009-09-03,2858
2009-09-03,0
2009-09-03,2700
2009-09-03,0
2009-09-03,50000
2009-09-03,0
2009-09-03,91490
2009-09-03,1050
2009-09-03,1500
2009-09-03,6000
2009-09-03,9650
2009-09-03,354071
2009-09-03,53744
2009-09-03,0
2009-09-03,160010
2009-09-03,190
2009-09-03,80
2009-09-03,25000
2009-09-03,5582
2009-09-03,168
2009-09-03,1397
2009-09-03,291076
2009-09-03,1167
2009-09-03,385903
2009-09-03,2026034
2009-09-03,1640
2009-09-03,19939
2009-09-03,26447
2009-09-03,20000
2009-09-03,190136
2009-09-03,621414
2009-09-10,15173
2009-09-10,165669
2009-09-10,23977
2009-09-10,505
2009-09-10,279
2009-09-10,0
2009-09-10,22775
2009-09-10,5000
2009-09-10,1068
2009-09-10,1000
2009-09-10,32170
2009-09-10,100
2009-09-10,0
2009-09-10,4700
2009-09-10,0
2009-09-10,15651
2009-09-10,27100
2009-09-10,0
2009-09-10,0
2009-09-10,8970
2009-09-10,0
2009-09-10,0
2009-09-10,0
2009-09-10,0
2009-09-10,0
2009-09-10,0
2009-09-10,0
2009-09-10,0
2009-09-10,0
2009-09-10,0
2009-09-10,0
2009-09-10,200
2009-09-10,2000
2009-09-10,0
2009-09-10,0
2009-09-10,0
2009-09-10,268371
2009-09-10,387
2009-09-10,228774
2009-09-10,174175
2009-09-10,0
2009-09-10,0
2009-09-10,0
2009-09-10,2135
2009-09-10,0
2009-09-10,4261
2009-09-10,0
2009-09-10,0
2009-09-10,50800
2009-09-17,27478
2009-09-17,452380
2009-09-17,11049
2009-09-17,2200
2009-09-17,7200
2009-09-17,0
2009-09-17,0
2009-09-17,13350
2009-09-17,0
2009-09-17,18500
2009-09-17,3420
2009-09-17,0
2009-09-17,3000
2009-09-17,3000
2009-09-17,1000
2009-09-17,52972
2009-09-17,10300
2009-09-17,0
2009-09-17,0
2009-09-17,5000
2009-09-17,0
2009-09-17,0
2009-09-17,500
2009-09-17,0
2009-09-17,0
2009-09-17,0
2009-09-17,0
2009-09-17,0
2009-09-17,0
2009-09-17,1376
2009-09-17,700
2009-09-17,0
2009-09-17,0
2009-09-17,0
2009-09-17,0
2009-09-17,89918
2009-09-17,440
2009-09-17,16070
2009-09-17,61122
2009-09-17,0
2009-09-17,1799
2009-09-17,0
2009-09-17,0
2009-09-17,0
2009-09-17,5699
2009-09-17,60206
2009-09-24,10822
2009-09-24,189966
2009-09-24,94920
2009-09-24,0
2009-09-24,117
2009-09-24,0
2009-09-24,0
2009-09-24,904
2009-09-24,0
2009-09-24,0
2009-09-24,1197
2009-09-24,0
2009-09-24,1500
2009-09-24,3000
2009-09-24,0
2009-09-24,68968
2009-09-24,40000
2009-09-24,0
2009-09-24,0
2009-09-24,49746
2009-09-24,0
2009-09-24,0
2009-09-24,0
2009-09-24,0
2009-09-24,0
2009-09-24,2718
2009-09-24,0
2009-09-24,0
2009-09-24,0
2009-09-24,0
2009-09-24,0
2009-09-24,0
2009-09-24,500
2009-09-24,0
2009-09-24,0
2009-09-24,0
2009-09-24,0
2009-09-24,145844
2009-09-24,714
2009-09-24,115871
2009-09-24,489533
2009-09-24,0
2009-09-24,0
2009-09-24,0
2009-09-24,0
2009-09-24,0
2009-09-24,5500
2009-09-24,66144
2009-10-01,27639
2009-10-01,118922
2009-10-01,49635
2009-10-01,0
2009-10-01,15367
2009-10-01,0
2009-10-01,2362
2009-10-01,9399
2009-10-01,0
2009-10-01,0
2009-10-01,0
2009-10-01,21050
2009-10-01,0
2009-10-01,0
2009-10-01,1200
2009-10-01,0
2009-10-01,537
2009-10-01,0
2009-10-01,0
2009-10-01,0
2009-10-01,0
2009-10-01,9550
2009-10-01,0
2009-10-01,0
2009-10-01,0
2009-10-01,0
2009-10-01,0
2009-10-01,0
2009-10-01,0
2009-10-01,0
2009-10-01,0
2009-10-01,0
2009-10-01,0
2009-10-01,0
2009-10-01,41
2009-10-01,0
2009-10-01,0
2009-10-01,0
2009-10-01,70250
2009-10-01,227
2009-10-01,70101
2009-10-01,207031
2009-10-01,0
2009-10-01,12665
2009-10-01,0
2009-10-01,0
2009-10-01,0
2009-10-01,3780
2009-10-01,21776
2009-10-08,13137
2009-10-08,70901
2009-10-08,530
2009-10-08,0
2009-10-08,0
2009-10-08,216
2009-10-08,0
2009-10-08,7812
2009-10-08,0
2009-10-08,0
2009-10-08,0
2009-10-08,36920
2009-10-08,0
2009-10-08,0
2009-10-08,0
2009-10-08,0
2009-10-08,73756
2009-10-08,18278
2009-10-08,1900
2009-10-08,0
2009-10-08,0
2009-10-08,0
2009-10-08,0
2009-10-08,0
2009-10-08,0
2009-10-08,0
2009-10-08,0
