Date,Open,High,Low,Close,Volume,Ticker_name
2024-04-15 00:00:00-04:00,434.5,435.0,430.25,431.5,152252,Corn
2024-04-16 00:00:00-04:00,431.25,432.25,428.5,431.0,148116,Corn
2024-04-17 00:00:00-04:00,431.0,433.0,429.5,430.25,139235,Corn
2024-04-18 00:00:00-04:00,429.5,431.0,426.25,426.75,180777,Corn
2024-04-19 00:00:00-04:00,427.25,434.0,426.75,433.5,180777,Corn
2024-04-15 00:00:00-04:00,85.93000030517578,86.11000061035156,84.05000305175781,85.41000366210938,343894,Oil
2024-04-16 00:00:00-04:00,85.69999694824219,86.18000030517578,84.75,85.36000061035156,241343,Oil
2024-04-17 00:00:00-04:00,85.36000061035156,85.51000213623047,82.55000305175781,82.69000244140625,259540,Oil
2024-04-18 00:00:00-04:00,82.79000091552734,83.47000122070312,81.55999755859375,82.7300033569336,84468,Oil
2024-04-19 00:00:00-04:00,82.62000274658203,86.27999877929688,81.80000305175781,83.13999938964844,84468,Oil
2024-04-15 00:00:00-04:00,1.7719999551773071,1.7920000553131104,1.6779999732971191,1.690999984741211,170569,Gas
2024-04-16 00:00:00-04:00,1.6950000524520874,1.8020000457763672,1.64900004863739,1.7319999933242798,231556,Gas
2024-04-17 00:00:00-04:00,1.6799999475479126,1.7239999771118164,1.659999966621399,1.712000012397766,152348,Gas
2024-04-18 00:00:00-04:00,1.722000002861023,1.7799999713897705,1.7130000591278076,1.756999969482422,160729,Gas
2024-04-19 00:00:00-04:00,1.741000056266785,1.805999994277954,1.7239999771118164,1.7519999742507937,160729,Gas
2024-04-15 00:00:00-04:00,106.01000213623048,106.25,105.83999633789062,106.20999908447266,0,USD
2024-04-16 00:00:00-04:00,106.16999816894533,106.5199966430664,106.06999969482422,106.26000213623048,0,USD
2024-04-17 00:00:00-04:00,106.33000183105467,106.44000244140624,105.87000274658205,105.9499969482422,0,USD
2024-04-18 00:00:00-04:00,105.93000030517578,106.18000030517578,105.73999786376952,106.1500015258789,0,USD
2024-04-19 00:00:00-04:00,106.19000244140624,106.3499984741211,105.8499984741211,106.1500015258789,0,USD
